기업명,기업링크,공고제목,공고링크,태그,공고내용,공고내용이미지url
트레이드커뮤니티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z3NkYmYvUzZlczZMRFJUOTRxNGxidz09,(중국어 가능) 해외 바이어 유치 및 발굴 (MICE 업무) 신입 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203200,"['바이어발굴/관리', '행사기획']","(중국어 가능) 해외 바이어 유치 및 발굴 (MICE 업무) 신입 모집
모집 부문 및 상세 내용
모집부문 상세내용
공통 자격 요건
ㆍ학력 : 대졸 이상 (2,3년)
해외 영업
해외 영업부 0명
지원자격
ㆍ경력 : 신입
ㆍ기타 필수 사항
- 중국어 가능자
우대사항
ㆍ영어가능자
근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무일시 : 10:00~18:00 
ㆍ 근무지역 : (110-052) 서울 종로구 적선동 156 광화문플래티넘 815호 - 서울 3호선 경복궁 에서 200m 이내
전형절차
서류 전형
면접 진행
최종 합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사 지원
ㆍ 이력서양식 : 자유 양식
ㆍ 제출서류 : 이력서
유의사항
ㆍ입사 지원 서류에 허위 사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/talent5.png']
오라클피부과,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=SnJ6dE5WSkt6bkEyektDcmIyL3hwZz09,(주5일 / 잠실새내역) 잠실 오라클피부과 - 간호조무사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203192,"['간호조무사', '진료보조', '처치실']","(주5일 / 잠실새내역) 잠실 오라클피부과 - 간호조무사 모집
모집부문 및 상세내용

2022년 1월, 잠실새내역(2호선)  가까이 위치한 신축빌딩으로 확장 이전하였습니다.
함께 성장해나갈 수 있는 직원을 모집하고 있습니다!


오라클피부과는 2007년에 설립된 피부과전문의 병원으로 17년차 안정적인 병원입니다.
전국에 여러 지점으로 구성된 피부과 네트워크 병원입니다.

서울 송파구 잠실동에 위치하고 있으며, 2호선 잠실새내역과 매우 근접하게 위치해있습니다.

피부과 전문의 1인 진료로 이미 원장님을 믿고 내원하시는 분들이 많아 환자분들 안내에도 큰 어려움 없이 적응하실 수 있습니다.

자상하고 직원들 말에 귀기울여주시는 원장님과 텃세 없이 친숙한 직원들,
저희 오라클피부과 식구들과 성실하고 밝은 모습으로 함께 할 수 있는 간호/처치팀 간호조무사님을 구인합니다.
경력이 없더라도 무관합니다. 인성과 근성이 좋으신 분들의 많은 지원 부탁드립니다! ^^



● 급여
- 면접 후 결정 (회사 내규에 따름)
- 퇴직금 별도

모집부문 상세내용
공통 자격요건
ㆍ학력 : 무관
처치팀 간호조무사
1명
지원자격
ㆍ경력 : 무관 (신입도 지원 가능)
ㆍ기타 필수 사항
- 간호조무사



근무조건
ㆍ 근무형태 : 정규직(수습기간)-1개월
ㆍ 근무일시 :  주 5일 근무
월 , 목 10 : 00 ~ 19 : 00 / 화 , 금 10 : 00 ~ 20 : 00 / 토 10 : 00 ~15 : 00  
평일 점심시간 13 : 00 ~ 14 :00 
수 , 공휴일 , 일요일 휴진
ㆍ 근무지역 : (05558) 서울 송파구 백제고분로7길 53 AW TOWER 13층 잠실 오라클피부과(잠실동) - 서울 2호선 잠실새내 에서 200m 이내

전형절차
서류전형
1차면접
최종합격
접수기간 및 방법


2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서

복리후생

     1.  4대보험 
     2.  수습 1개월
     3.  매주 수요일 휴무
     4.  연차15개, 2년 근속당 +1개
     5.  여름휴가 연차사용
     6.  명절상여
     7.  퇴직금 별도
     8.  식대지원
     9.  생일자 축하금
     10.  유니폼 지급
     11.  직원 및 지인 시술 할인
     12.  소개수당 지급
     13.  별도 청소 용역 운영
  유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/talent4.png']
(주)캐리,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=L1JwMzhUSmJjTWVDdnRLKy9ybVBQQT09,[코스닥 상장사] 임원 비서 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203186,"['비서', '서무', '임원비서']","[코스닥 상장사]
임원 비서 채용
모집부문 및 상세내용
공통 자격요건
ㆍ경력 : 무관 (신입도 지원 가능)
ㆍ학력: 고등학교 졸업 이상자
ㆍMS Office 프로그램 활용
ㆍ원할한 의사소통 능력을 갖춘자
ㆍ책임감 있고 성실한 자
인포 및 비서 0명
담당업무
ㆍ회사의 일정 관리 및 조율
ㆍ내방 고객 및 전화 응대
ㆍ문서 작성 및 데이터 입력
ㆍ기타 사무 보조 업무

우대사항
ㆍ비서 관련 자격증을 소지한 분
ㆍ관련 업종에서의 근무 경험이 있으신 분
ㆍ신속하고 정확한 업무 처리 능력을 갖추신 분
ㆍ팀워크와 협업 능력이 뛰어나신 분


근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무지역 : (06301) 서울 강남구 논현로30길 32 경희빌딩(도곡동) - 서울 3호선 매봉 에서 500m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/sale3.png']
골드문파트너스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eDEzbFNLMEFFYzlid2xtdkR3dWkwQT09,2025년 상반기 바이럴마케팅/광고마케팅/섭외TM 경력무관 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203181,"['광고마케팅', '바이럴마케팅', '섭외TM', '단순안내', '상담품질관리']","2025년 상반기 바이럴마케팅/광고마케팅/섭외TM 경력무관 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
TM 50명
주요업무
ㆍ
지원자격
ㆍ경력 : 무관 (신입도 지원 가능)
근무조건
ㆍ 근무형태 : 정규직, 계약직(정규직 전환가능), 아르바이트
ㆍ 근무지역 : (08591) 서울 금천구 가산디지털1로 2 우림라이온스밸리2차 414호 - 서울 1호선 독산 에서 200m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
(주)베로스컨설팅그룹,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dTNpMjU1RXYrZjg0WWtBTmVmbTR1UT09,홍보/PR 팀장 채용 [국내 중견기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203156,['홍보'],"홍보/PR 팀장 채용 [국내 중견기업]
모집부문 및 상세내용
직무 
언론홍보, 기획기사등 보도자료 
리스크 관리 
언론 네트워크 관리 
CSR 
홍보 / PR 채용 0명
지원자격
ㆍ경력 : 경력 7년 이상(과장, 차장, 부장급)
근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무일시 : 주 5일(월~금)
ㆍ 근무지역 : (06194) 서울 강남구 테헤란로78길 14-11, 7층 - 서울 2호선 선릉 에서 800m 이내
전형절차
서류전형
1차.2차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 자유양식 국문 이력서, 자기소개서 (현재 연봉 및 희망 연봉 기재) 
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
시너지파트너즈(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TGVMWm4wck1SUWQwZ0kwc0NKNUNqQT09,리스크관리팀 'K-ICS(리스크운용)'정규직(과~차장급)2명,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203150,['위험분석'],"[대형생보사] 리스크관리팀 'K-ICS(리스크운용)' 전문인력 정규직 2명채용 (과~차장급)

리스크관리팀 'K-ICS(리스크운용)'전문인력

■ 직무개요
? K-ICS 결산 전반(엑셀 및 시스템 활용)
? K-ICS 비율 추정 방법론 개발 및 운영
? K-ICS 비율 분석 및 리스크 축소 방안 발굴 등

■ 주요역할
? K-ICS 결산 및 관리, 감독기관 대응
- K-ICS 표준 모형 및 내부모형 기준 비율 관리

? K-ICS 비율 추정 방법론 개발
- 매월/분기 K-ICS 비율 추정 및 원인 분석
- 방법론 고도화 및 향후 추정 시스템 도입 검토

? K-ICS 비율 실적에 따른 요인 분석 및 리스크 축소 방안 발굴

■ 직무 필요역량 및 자격요건

1. 필수학력: 학사 이상

2. 필수경력 및 전문지식
? 보험 및 금융업 근무경력 최소 8년 이상
? 채용 직무 수행 경력 최소 3년 이상

3. 우대경력 및 전문지식/자격
? K-ICS 업무 유경험자
? 보험사 리스크 관리 또는 보험계리 업무 유경험자
? 보험계리사 등 보험관련 자격 보유자

4. 우대언어: 비지니스 영어 능력 보유자로 해외 출장에 결격 사유가 없는 자

■ 전형일정
서류접수 → 1차면접 → 2차면접 → 처우협의 및 입사(채용검진 포함)

■ 근무지: 여의도(서울)

■ 처우 : 내규에 따라 개별 협상 (경력년수에 따라 별도 협의 예정) / 정규직 (과장 1명, 차장 1명)

■ 마감: 3/24

■ 지원관련 문의:
nhkim@synergypartners.co.kr
함께하기 위한 방법
접수기간 : 2025년 03월 10일 (월)18시 00분 ~ 2025년 03월 24일 (월) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
(주)베로스컨설팅그룹,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dTNpMjU1RXYrZjg0WWtBTmVmbTR1UT09,화장품 국내 및 해외 품질 담당 (중견 헬스케어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203141,"['상담품질관리', '품질관리']","화장품 국내 및 해외 품질 담당 (중견 헬스케어)
모집부문 및 상세내용
직무
화장품, 건기식 품질 이슈 대응 
품질 기준 셋업 
해외 클레임 대응  
Audit 
국내 및 해외 품질 담당 0명
지원자격
대졸이상 
경력 7년 ~ 15
화장품, 식품 QA 경력 필수 
유관 전공자 
비즈니스 영어회화 가능자  
근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무지역 : (06194) 서울 강남구 테헤란로78길 14-11, 7층 - 서울 2호선 선릉 에서 800m 이내
전형절차
서류전형
1차,2차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
(주)훔볼트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MEthYy9INnVwb3hydkowZitUTndIdz09,경영지원 (회계/인사/총무/영업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203135,"['세무사', '계산서발행', '세무기장', '세무신고', '세무조정']","경영지원 (회계/인사/총무/영업)
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 고졸 이상
재무회계 1명

주요업무
ㆍ 전략 수립 및 실행
ㆍ 재무 분석 및 보고
ㆍ 예산 편성 및 관리
ㆍ 내부 감사 및 점검
ㆍ 인력 관리 및 배치
담당업무
ㆍMAIN: 자금/회계
ㆍ결산 총괄 업무(계산서 마감, 부가세 신고 자료 작성, 재무제표 마감, 감가상각, 외화/채권 평가)
ㆍ월 마감 보고
ㆍ세무관련 대리 신고(부가세, 법인세, 종소세, 연말정산)
ㆍ급여 및 인사관리
ㆍ기타 총무 및 경영 지원 업무
ㆍ경영, 총무, 영업 업무지원
   (세무법인, 노무법인 연계)


지원자격
ㆍ경력 : 경력 2년 이상
ㆍ해당직무 근무경험
- ERP 전산회계
우대사항
ㆍ일어일문학, 수학/통계학
ㆍ전산회계1급 (국가공인), 전산세무회계1급 (국가공인)
ㆍ해당직무 근무경험, 더존/회계 능숙자, 2년 이상 관련 분야 경력자, 문서작성 우수자, 컴퓨터활용능력 우수
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 09:00~18:00
ㆍ 근무지역 : (04784) 서울 성동구 성수이로 58 P-Tower 3층(성수동2가) - 서울 2호선 성수 에서 500m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/talent3.png']
(주)베로스컨설팅그룹,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dTNpMjU1RXYrZjg0WWtBTmVmbTR1UT09,화학원료 기술영업  팀장급 [국내 중견],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203130,"['기술영업', '신소재', '석유화학', '영업']","화학원료 기술영업 팀장급 [국내 중견]
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 초대졸 이상 
화학원료 기술영업 0명
지원자격
ㆍ경력 : 경력 10년 이상
근무조건
ㆍ 근무형태 : 정규직
     근무지역 : 경기 
전형절차
서류전형
1차,2차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
(주)시닉스레이,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z29yMmhZWUJOTGpQL1RSaVJBYzlrUT09,시닉스레이 연구소 방사선사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203121,"['방사선사', '초음파사', '영상의학과', 'B2B', 'B2C']","[시닉스레이 연구소]
방사선사 모집
모집부문 및 상세내용
모집부문 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (2,3년)
ㆍ자격 면허 : 방사선사 
ㆍX-RAY 의료기기에 대한 이해 및 관심이 많은 자
방사선사
0명
주요업무
ㆍ X-RAY C-ARM 등의 사용자 교육 및 영상 조정 업무
ㆍ 기본 설치 지원 및 설치 후 대리점 교육 및 영상 관련 서비스 지원
ㆍ 시장 동향 분석 및 경쟁사 분석
ㆍ 고객 요구 분석
ㆍ 의료 기기 관리

우대사항
ㆍ방사선과 졸업자 또는 졸업 예정자
ㆍ해외 여행 결격 사유 없는 자
ㆍ병,의원 경험자
ㆍ운전가능자


우대사항
ㆍ인근거주자, 커뮤니케이션 우수자, 해당 직무 근무경 험
근무지
ㆍ 근무지역 : (02048) 서울 중랑구 봉화산로 123, 705호 - 경춘선 망우 에서 800m 이내

전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 상시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 방사선사 자격증 사본
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/talent2.png']
