id,기업명,기업링크,공고제목,공고링크,태그,공고내용,공고내용이미지url
rec-50220802,라파라드(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bEsvenBqdWZEcW1CZmZVSjgwa2hYUT09,SW 개발자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220802,"['S/W', 'C++', 'C언어', 'OpenCV', 'PL(프로젝트리더)']","SW 개발자 경력직 채용
서비스 소개
암 환자의 삶을 회복하는 방사선 치료계획 시스템 개발에 함께할 인재를 찾습니다!

방사선 치료는 암 치료에서 큰 비중을 차지하며, 최신 기술을 활용한 정밀한 치료계획 시스템이 환자 맞춤형 치료를 가능하게 합니다. 저희는 방사선 치료 과정에서 환자의 신체적 특성과 치료 필요에 최적화된 시스템을 개발하여, 환자가 신속히 일상으로 복귀할 수 있도록 돕고자 합니다. 

이번 채용에서 담당하게 될 업무는 치료계획 시스템의 핵심 알고리즘 개발 및 의료 데이터 분석으로, 방사선 치료의 효과를 극대화하고 부작용을 최소화하여 암 환자의 삶의 질을 높이는 데 중점을 둡니다. 의료 기술과 환자 중심의 가치에 관심이 많고, 암 환자의 정상적인 삶 회복에 기여하고자 하는 열정을 가진 분들의 많은 지원을 기다립니다!



https://www.rapharad.com/
이 포지션의 AI 예상 면접 질문이 궁금하다면 점핏에서 확인해보세요!
모집부문 / 상세내용
사용 기술
C C++ Visual Studio OpenCV
주요업무
• 프로젝트 관리 및 협력업체와의 협업
• 의료용 S/W 개발 및 최적화
• 이미지 프로세싱
자격요건
• C/C++ 개발 경력 5년 이상(선임연구원급)
우대사항
• 의료용 S/W 개발 경험자
• DICOM 처리 유경험자
• Matlab 개발 유경험자
마감일 및 근무지
• 마감일 : ~2025-03-20
• 근무지
- 서울 강남구 역삼로 165 6층
복지 및 혜택
• 4대보험 / 자유로운 연차 사용 / 자유복장 / 야근 및 회식 강요 안함 / 내근 100%
채용절차 및 기타 지원 유의사항
[채용절차]
서류전형 → 인터뷰 → 처우 협의 → 최종합격
※절차는 변경될 수 있습니다.
[참고사항]
서류 합격자에 한해 연락드립니다.","['https://cdn.jumpit.co.kr/images/stacks/noStack.png', 'https://cdn.jumpit.co.kr/images/stacks/CPlusPlus.png', 'https://cdn.jumpit.co.kr/images/stacks/visualstudio.png', 'https://cdn.jumpit.co.kr/images/stacks/OpenCV.png']"
rec-50220569,경희의료원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dDVLdzBsK1JaQk5tS1BPdFM0N05BQT09,계약직 신입직원 [시설관리팀 기계기사] 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220569,['기계기사'],"1. 모집분야  : 시설관리팀 기계기사

2. 전형절차 : 서류전형 → 면접전형 → 채용검진

3. 근무형태 : 상근 또는 교대근무. 단, 추후 변동 가능

4. 근무기간 : 1년 (최초 2개월은 시용근무. 단, 시용근무더라도 처우, 복리후생 등 동일)

5. 필수 및 우대사항

   가. 남자의 경우 군필 또는 면제자 필수

   나. 고졸 이상 학력 소지자 필수

   다. 각종 기계관련 자격증 소지자 우대 (에너지관리기능사, 공조냉동기계기능사 등)

   라. 기계설비 관련 업무 유경험자 우대




5. 접수방법 및 제출서류

   가. 접수방법 : 온라인 지원 접수

   나. 채용정보 - 채용공고에서 ""계약직 신입직원 [시설관리팀 기계기사] 공개채용 모집공고"" 선택

   다. 제출서류

      1) 지원서 및 자기소개서 (온라인 지원서 양식)

6. 접수기간 및 접수처

   가. 접수기간 : 2025.03.16(일) 까지

   나. 문의전화 : 02) 958 9863

   다. 서류합격자 발표 일정 : 3월 중

   라. 면접전형 일정 : 서류합격자 발표시 개별 통보 예정.

   마. 상기 일정은 의료원 사정에 따라 변경될 수 있음.

   바. 장애인 및 보훈대상자는 관계법에 의거 우대함. 끝.",
rec-50220530,,,브랜드매니저/상품기획 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220530,"['기획MD', '리테일MD', '바잉MD', '슈퍼바이저', '영업MD']","㈜이폴리움
브랜드매니저/상품기획 채용
이폴리움에서는 2024년 사업 성장에 따른 확장으로 상시 채용을 진행합니다.
상호 존중과 협업을 최우선으로 하는 이폴리움에서 실력을 겸비한 여러분을 모십니다.
모집부문
모집부문 담당업무 자격요건 및 우대사항 인원
뷰티·생활 브랜드
메니지먼트 및
상품기획 담당 - 브랜드 마케팅/세일즈 협업 및 프로모션 기획
- 신제품 개발 및 상품기획(NPD 및 전략 수립)
- 제품 수명주기(PLC) 관리 및 리뉴얼 진행
- 시장현황 및 Sales 분석을 통한 SKU 플래닝
- ODM/OEM 협력 및 품질 관리(QA)
- 글로벌 시장 조사 및 트렌드 분석 - 생활화학제품 상품기획 경력보유자
- 업계 ODM,OEM/부자재 협력업체
  POOL 보유
- 포트폴리오 필수 0명
근무조건
- 급여 : 협의
- 주5일근무
- 고용형태 : 정규직
- 채용직급 : 협의
- 근무시간 : 08:00~17:00 or 09:00~18:00
- 중식제공
복리후생
[연금보험]
국민연금(4대보험), 고용보험(4대보험),
산재보험(4대보험), 건강보험(4대보험),
퇴직연금 [급여제도]
장기근속자 포상, 우수사원포상,
인센티브제
[회사분위기]
인재육성 중시, 회식강요 안함,
야근강요 안함 [명절/기념일]
명절선물/귀향비, 생일선물/파티
[의료/건강]
건강검진 [출산/육아]
산전 후 휴가, 육아휴직
[사무실환경]
회의실(PT가능), 카페테리아, 무선인터넷 [의복관련]
자유복장, 노 타이(Tie)
[식사관련]
점심식대 1만원 제공, 음료무한제공
(차, 커피), 팀회식비 및 팀추진비 지원 [지급품]
웰컴킷 (키보드,마우스, 다이어리 등
각종 사무용품)
[휴일/휴가]
연차, 경조휴가제, 반차, 반반차,
노동절휴무, 포상휴가    
전형절차
제출서류
- 사람인 양식 또는 자유 이력서
접수방법 및 기간
- 접수방법 : 사람인 온라인 입사지원
- 접수기간 : 2025년 4월 10일 마감
문의사항
- 담당자 : 허신영 차장
- E-mail : jeremy@efolium.com
기타사항
- 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","['https://www.saraminimage.co.kr/recruit/os_hk_25/04_img_efolium_250210.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a01_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a05_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a17_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a02_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a12_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a15_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a28_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a21_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a10_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a26_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/a25_j_200316.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit2/cred_s_process4_1.png', 'https://www.saraminimage.co.kr/recruit/bbs_recruit7/watermark_match_basic.png']"
rec-50220490,골든비네트워크(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WVdjZ0lsck9ZTW5hdFRUWE54R2RwUT09,신입 헤드헌터 초빙,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220490,"['직업상담사', '헤드헌터', 'HR컨설팅', '면접/인터뷰', '인사행정']","신뢰받는 써치펌 Golden Bee Network (주)에서 헤드헌터로서 Career 를
개발하고 역량을 발휘할 인재를 모십니다. 
    상호 신뢰와 협력하는 기업문화를 창조하며 성장하는 전문 써치펌
Golden Bee Network ㈜와 함께 성장할 신입 헤드헌터 여러분들의 도전을 기다립니다.
        모집부문 및 자격요건
회사내 다양한 산업분야에서 전문성을 갖춘 수준 높은 컨설턴트들과 좋은 조건의 운영시스템, 
상호 신뢰와 협력하는 기업문화를 창조하며 성장하는 전문 써치펌
Golden Bee Network ㈜와 함께 성장할 신입 헤드헌터 여러분들의 도전을 기다립니다.

담당업무

- 고객사 및 후보자 관리
  - 후보자 서치, 인터뷰, 
   인재 추천 등 전반적인 
   채용프로세스 진행 관리
자격요건
- 학력 : 4년제 대학교 졸업이상
- 경력 :  헤드헌팅 경력 1년이상 혹은 
          각 산업분야 경력 5년 이상인분
 - 인적 네트웍이 좋은 분, 석사학위 및 HR분야 경력자 우대

- 우대조건 :
   금융, 전기전자/IT통신,   
   기계자동차, 건설중공업,
     화학에너지, 의료제약 등


  근무조건
- 근무형태 : 비 정규직, 프리랜서 위탁직 (성과 배분제)
- 근무지역 : 서울 서초 
- 근무부서 : 헤드헌팅 사업부
     - 업계 최고 수준의 보상시스템과 가족같은 근무 분위기
  5. 제출서류 및 문의처
  - 이력서(경력기술서 포함), 자기소개서
  - 1차 서류전형(합격자에 한해 개별 연락드립니다) / 2차 인터뷰
  -  shimem012@gmail.com/shimem@goldenbeenet.com 심응만 대표컨설턴트 (02-556-7937 / 010-3921-8192)
  전형절차
- 서류전형 - 면접전형 - 최종합격
제출서류
- 이력서, 자기소개서
지원방법
- 사람인 입사지원
             (입사 확정후 3일내 경력증명서 최종학교 졸업증명서 등 Headhunter 등록 자격 증빙 서류제출)
접수기간
- 수시접수 및 채용 마감시 종료

문의및 연락처

골든비네트워크㈜ 심응만 대표컨설턴트
서울시 서초구 신반포로 326-10, 대종빌딩 305호
Mobile : 010-3921-8192 / 사무실 02-556-7937
E-mail : shimem012@gmail.com, shimem@goldenbeenet.com
Webpage : www.goldenbeenet.com
Golden Bee Network (주)는 구직자 정보는 보안을 유지하며 구직자에게는 일체의 사례를 받지 않습니다.
 ",
rec-50220468,(주)핀커스코리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=L2M2VzA0MlRicVcydGNKd2hlME1GUT09,[완전 자율주행을 위한  ICT혁신기업]영업본부장 / 임원(이사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220468,"['해외시장개척', '해외영업', '영업']","포지션 : 영업본부장 / 임원(이사)

담당업무
- 해외 자동차 전장 영업 : 70%
- 국내 자동차 애프터마켓(블랙박스, 하이패스)외 영업 : 30%

자격 요건
- 관련 경력 18년 이상
- 전장 임원 경력
- 자동차 전장 연구개발분야의 이해도
- 영어회화

근무지 : 수원 광교

제출 서류 : 이력서(경력기술서 포함), 포트폴리오등

처우 : 현연봉 기반 충분히 협의
함께하기 위한 방법
접수기간 : 2025년 03월 12일 (수)09시 00분 ~ 2025년 03월 24일 (월) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
rec-50220462,도림금속,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZXBoWlN4MmtDS0tGa2taMXM3SHZYZz09,절단/절곡/V커팅/금속가공 정규직 기사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220462,"['절단가공', '금속', '절곡기']","절단/절곡/V커팅/금속가공 정규직 기사 채용
모집부문 및 상세내용
모집부문 상세내용
공통 자격요건
ㆍ학력 : 무관

절단절곡 / 금속가공
가공부 0명
지원자격
ㆍ경력 : 무관 (신입도 지원 가능)
우대사항
ㆍ해당직무 근무경험
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주5일근무 , 토요일 교대근무(단축근무)
ㆍ 근무지역 : (08205) 서울 구로구 신도림로11다길 30(신도림동) - 서울 1호선 구로 에서 800m 이내
전형절차
서류전형
면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 2025년 4월 11일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원, 전화 지원, 회사방문 접수
ㆍ 이력서양식 : 자유양식
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/talent4.png']
rec-50220461,(주)핀커스코리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=L2M2VzA0MlRicVcydGNKd2hlME1GUT09,"[유명 구인구직 플랫폼] 시니어 마케터 (차,부장급)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220461,"['마케팅전략', '온라인마케팅', '퍼포먼스마케팅']","1. 포지션: [유명 구인구직 플랫폼] 마케팅실 시니어 마케터 (차,부장급)

2. 업무
· 마케팅 전략 수립 및 운영관리
· 브랜딩/홍보: ATL/BTL 광고 캠페인 전략, 대행사 핸들링, 매체 및 채널관리, PR 전략 등
· 퍼포먼스/프로모션 : 목표 및 성과관리, 기획 및 실행, 대행사 핸들링, 분석 및 성과보고 등
· 마케팅 지표관리: 데이터 분석, 인사이트 도출 등

3. 자격
· 경력 10년이상, 학력 대졸이상
· 퍼포먼스 매체 운영 경험 4년 이상
· TVC 광고 제작 및 온에어 경험 4년 이상

4. 우대
· PR 매체 기자 관리 경험
· CRM 데이터 분석 및 기획 경험
· 브랜드 아이덴티티 관리 경험

5. 제출 서류 : 이력서,
함께하기 위한 방법
접수기간 : 2025년 03월 12일 (수)09시 00분 ~ 2025년 03월 24일 (월) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
rec-50220451,(주)에스에이티정보,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZzlzZXZUM0R1ODdEemlGZTZpR3QyZz09,솔루션사업부 기술지원 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220451,"['유지보수', 'S/W']","솔루션사업부 기술지원 엔지니어 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
솔루션사업부 기술지원 엔지니어 채용 솔루션사업부 00명
지원자격
ㆍ경력 : 무관 (신입도 지원 가능)(면접 후 결정)
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 09:00~18:00
ㆍ 근무지역 : (152-741) 서울 구로구 구로동 222-12 마리오타워 1401호 - 서울 2호선 구로디지털단지 에서 800m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 2025년 4월 11일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : -이력서
-자기소개서
-경력기술서(경력자에한함)
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
rec-50220450,(주)캠퍼스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dlR6SXFHaUNnNTZaeDBDQ1VzbG84UT09,(종로)서울대학교장례식당조리원 5시간 근무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220450,"['네일리스트', '매장매니저', '바텐더', '벨멘/도어맨', '부주방장']","우리는 외식업과 식음료 분야에서 고객에게 최고의 경험을 선사하는 것을 목표로 해요. 맛있는 음식과 친절한 서비스로 고객의 하루를 밝게 만드는 일, 여러분과 함께하고 싶어요. 여러분의 지원, 기대하고 있어요!

[모집분야] (종로)서울대학교장례식당조리원5시간단시간

함께 할 업무에요
- 장례식당 내 조리 업무 수행
- 음식 재료 관리
- 조리 과정의 위생 및 안전을 철저히 지킴
- 식당 운영 관련 일정 및 기타 업무 수행

이런 분을 찾고 있어요
- 식음료 업계에서의 경력 보유
- 장례식당 조리 경험 우대
- 신속하고 정확한 조리 기술
- 위생 및 안전에 대한 이해
- 팀워크와 협업 능력

이런 분이면 더 좋아요
- 관련 자격증 소지자
- 고객 서비스에 대한 열정과 경험
- 손재주와 창의성을 발휘할 수 있는 분
- 긍정적인 태도와 커뮤니케이션 능력
- 피로감 없이 장시간 일할 수 있는 체력

함께하면 받는 혜택 및 복지
- 경쟁력 있는 급여
- 휴가 및 연차 사용 관리
- 건강 검진 및 병가 제도
- 식사 제공
함께하기 위한 방법
접수기간 : 2025년 03월 12일 (수)09시 00분 ~ 2025년 04월 11일 (금) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
rec-50220449,엔터웨이파트너스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=c3BHeWp2VHdVUzF3UkpncG5QZS91UT09,의료기기 CSO - 글로벌 의료기기 기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220449,"['영업전략', '바이어발굴/관리', '해외영업관리', '마케팅전략', '사업기획']","[회사설명]
글로벌 의료기기 기업

[모집부문]
의료기기 CSO

[담당업무]
① 프랑스 의료기기 국내 유통 총괄
- 의료기기 영업 및 마케팅 전략 수립
- 의료기기 영업/마케팅 부서 총괄
- 마취과, 외과, 영상의학과, 신생아

② 국내 제조 피부 미용 의료기기 수출 총괄
- 피부 미용 의료기기 수출
- 피부 미용 의료기기 수출 부서 총괄
- 해외 제품홍보, 파이프라인 기획, 제품개발 기획

③ 전사적 성장 전략 설계
- P&F teams의 비전을 달성하기 위한 중, 장기 전략 수립
- 신제품 포트폴리오 발굴 및 투자 전략 수립
- 의료기기 관련 규제 대응 전략 수립

④ 리더십
- 내부 조직 효율화 및 CSO 관리 부서 성과 관리
- 부서간 협업 및 전략적 목표 조율
- Culture Rules 강화 및 팀 성과 증진을 위한 리더십 발휘

⑤ CEO Support / Communication
- CEO의 의사결정 지원
- 글로벌 네트워크 (프랑스 본사, 해외 바이어 등) 구축 및 관리
- 주요 임원들과의 협업을 통한 경영 전략 실행

[자격요건]
· 학사 학위 이상
· 비즈니스 영어 능력 최상
· 의료기기 업계에서 15년이상 마케팅 업무 and Division Head 이상의 직책


＊근무지
서울


＊직급
[임원급]


[제출서류]
국문/영문 이력서 및 자기소개서
 
[제출처]
담당자명   남정아 이사
전화번호   02-6281-5009

www.nterway.com


━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

㈜엔터웨이파트너스는 주민등록번호 수집 금지 법령과 공정화에 관한 법률에 의거하여, 다음과 같은 정보를 수집하지 않습니다. 
1. 구직자 본인의 생년월일을 제외한 주민등록번호
2. 구직자 본인의 용모,키,체중 등의 신체적 조건 / 출신지역,혼인여부,재산 / 직계 존비속 및 형제자매의 학력,직업,재산",['https://www.saraminimage.co.kr/?url=http://www.nterway.com/job_email/jana.png']
