id,기업명,기업링크,공고제목,공고링크,태그,경력,학력,근무형태,급여,근무지역,지원시작일,지원마감일,지원방법,접수양식,담당자,연락처,refined_content_revised
rec-50310537,건스케어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RnlqZW5mMXdQQUJqTHZ3a1RJRXY0QT09,자사 홍보영상 제작 채용[마케터/영상출연/촬영편집/시연알바],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310537,"['팝업스토어관리', '영상제작', '영상편집', '유튜브', '홍보']",경력 10~20년,학력무관,정규직,면접 후 결정,서울 강남구,2025.03.22 18:00,2025.04.21 23:59,사람인 입사지원,사람인 이력서 양식,이채원,,"[채용 공고 내용]  
- 채용인원: 0명  
- 근무형태: 정규직, 아르바이트  
- 근무일시: 정규직: 주 5일(월~금) 10:00~19:00, 영상출연: 주 3일 협의, 10:00~14:00 또는 18:00~22:00, 시연모델: 1주일, 13:00~22:00  
- 근무지역: 서울 영등포구 국회대로70길 15-1 극동브이아이피빌딩  
- 전형절차: 서류전형, 1차면접, 최종합격  
- 접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 자사 홍보영상 제작, 마케팅, 영상 촬영편집, SNS 영상 출연, 팝업행사 시연  
- 자격 요건: 무관 (신입도 지원 가능)  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 접수기간: 2025년 3월 22일 (토) 18시 ~ 2025년 5월 21일 (수) 24시  
  - 이력서양식: 사람인 온라인 이력서  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.  "
rec-50307134,(주)피플렙,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bGVYeU5YbVBJWmsza2RiQ3U1WkhJUT09,PE포트폴리오사(제조업) 인사기획 차부장급,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50307134,"['HRM', '인력관리', '인사기획', '인사행정', '평가/보상']",경력 8~20년,대졸(4년제) 이상,정규직 수습기간 3개월,면접 후 결정,서울 구로구,2025.03.21 21:00,,사람인 입사지원,사람인 이력서 양식,Michaela Kim,010-4727-6423 / 010-4727-6423,"[채용 공고 내용]  
- 채용인원: 해당 사항 없음  
- 근무형태: 정규직  
- 직급:  
- 근무일시: 해당 사항 없음  
- 근무지역: 서울 서부권  
- 전형절차: 해당 사항 없음  
- 접수방법: 국문 이력서, 자기소개서를 한 개 파일에 넣어 워드 양식 첨부 필수  

[채용 공고 주요 내용]  
- 주요 업무: 인사 제반 기획 및 개선, 채용, 교육, 평가, 보상 등 HR프로세스 운영 및 제도 개선, 채용 브랜딩 관리 및 채용 전략 수립, 인사데이터 관리 및 분석을 통한 인재관리 전략 마련, 본사 HR 관리 및 해외법인 인사업무 지원, 노무 및 대관 업무 대응  
- 자격 요건: 관련경력 8년 이상-20년, 커뮤니케이션 및 협상능력 우수자, 인사제도, 기획, 관리, 급여, 채용 기획 및 보상 기획 등 다방면 경험 있는 실무형, 영어 유창, 제조업(대기업)에서 인사업무 기반 보유 경력 우대, 글로벌 인사 경험 우대  
- 우대 사항: 제조업(대기업)에서 인사업무 기반 보유 경력 우대, 글로벌 인사 경험 우대  

[그 외]  
- 그 외 정보:  
  - 회사 소개: PE포트폴리오사(제조업)로, 4년 연속 매출 상승하며 해외법인 보유, 인지도 높은 제품을 생산하고 있음.  
  - 직원 복리후생 및 문화가 좋음.  
  - 문의 전화번호: 010-4727-6423  
  - 채용 마감: 채용은 마감 시 클로즈될 수 있으며, 빠른 지원을 부탁함.  
  - 기업 정보: (주)피플렙, 서울특별시 강남구 테헤란로 313, 성지하이츠1 411~415, 417호(역삼동), 등록번호 제 2018-3220163-14-5-00039호.  "
rec-50311033,그가사랑하는순간,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=V2E5NS96SURYSGZwTitSOHh4WEFKQT09,[그가사랑하는순간] 웨딩스튜디오 메인 포토그래퍼 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50311033,"['영상디자이너', '인플루언서', '작가', '크리에이터', '포토그래퍼']",무관(신입포함),학력무관,정규직 수습기간 3개월,면접 후 결정,서울 강남구,2025.03.23 11:00,2025.04.22 23:59,사람인 입사지원,사람인 이력서 양식,이홍규 (운영부),02-545-7338 / 010-8639-5737,"[채용 공고 내용]  
채용 인원: 0명  
근무 형태: 정규직(수습기간 3개월)  
직급:  
근무 일시: 면접 후 결정, 10:30~19:30  
근무 지역: (06098) 서울 강남구 논현동 246-5 B1, 2 - 서울 7호선 학동에서 500m 이내  
전형 절차: 서류전형 → 1차 면접 → 최종 합격  
접수 방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 사진 작업 관리, 이미지 편집 및 보정, 촬영 기획 및 실행, 장비 유지 보수, 창의적 컨셉 개발  
- 자격 요건: 경력 (년수 무관) (팀장, 실장, 팀원급)  
- 우대 사항: 예/체능계열, 어도비 포토샵(Adobe Photoshop), 전기기능사, 해당 직무 근무 경험, MAC/편집 전문가, Spring 개발 경험, 포토샵 능숙자, 문서 작성 우수자  

[그 외]  
- 그 외 정보:  
  - 접수 기간: 2025년 3월 23일 (일) 11시 ~ 2025년 4월 22일 (화) 24시  
  - 이력서 양식: 사람인 온라인 이력서  
  - 유의사항: 입사지원 서류에 허위 사실이 발견될 경우, 채용 확정 이후에도 채용이 취소될 수 있음."
rec-50310542,투썸플레이스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MlE4YVovQzFsSDdNb3ZEWWpvMHFQdz09,[직영] 투썸플레이스 서린동청계광장점 캡틴 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310542,"['바리스타', '카페']",경력 1~20년,학력무관,정규직 수습기간 3개월,"연봉 2,850 만원 (주 41시간)",서울 송파구,2025.03.22 19:00,2025.03.25 23:59,사람인 입사지원,사람인 이력서 양식 참고자료 보기,박진완,010-6855-9026,"[채용 공고 내용]  
채용인원: 00명  
근무형태: 계약직(무기계약직/정규직 전환 가능)  
근무일시: 해당 사항 없음  
근무지역: (03188) 서울 종로구 청계천로 17 픽셀빌딩 B1~3F 투썸플레이스(서린동) - 서울 1호선 종각에서 500m 이내  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수방법: 사람인 입사지원 (사람인 온라인 이력서)

[채용 공고 주요 내용]  
- 주요 업무: 해당 사항 없음  
- 자격 요건: 경력 무관 (신입도 지원 가능)  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 공통 자격요건: 학력 무관  
  - 접수기간: 2025년 3월 22일 (토) 19시 ~ 2025년 4월 21일 (월) 24시  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있음."
rec-50306372,카스코화재해상손해사정(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z3JSRTRPYk9jZmhaMThBS0dBOVJ3dz09,서울/ 경기남부      4종 조사자 급 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50306372,"['손해사정사', '금융사무', '손해보험', '손해보험사']",,대졸(4년제) 이상,정규직,면접 후 결정,서울 강서구,2025.03.21 18:00,2025.04.20 23:59,입사지원,사람인 이력서 양식,민지혜 부장 (본사 민지혜 부장),02-7854-7518,"[채용 공고 내용]  
채용인원: 00명  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: (07803) 서울 강서구 마곡중앙6로 70 매그넘797(마곡동)  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 4종 인보험 조사  
- 자격 요건: 경력 1년 ~ 10년(면접 후 결정)  
- 우대 사항: 간호학, 재활치료학, 물리치료학; 2종보통운전면허; 차량소지자 및 운전가능자  

[그 외]  
- 그 외 정보:  
  - 학력: 무관  
  - 접수기간: 2025년 3월 21일 (금) 18시 ~ 2025년 4월 20일 (일) 24시  
  - 이력서 양식: 사람인 온라인 이력서  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후에도 채용이 취소될 수 있음."
rec-50306248,(주)호텔신라,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b214VS9hTDkvV3kxdjlGeDhCcXlRZz09,"서울 신라호텔 F&B(식음, 연회, 야외수영장) 서비스크루 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50306248,"['바리스타', '바텐더', '소믈리에', '안내데스크', '호텔리어']",경력 3~10년,"대졸(2,3년제) 이상",계약직,면접 후 결정,"서울 중구, 서울전체, 경기전체",2025.03.21 18:00,,사람인 입사지원,사람인 이력서 양식,,02-2230-3072,"[채용 공고 내용]  
채용인원: 00명  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: (100-856) 서울 중구 장충동2가 202 - 서울 3호선 동대입구에서 300m 이내  
전형절차: 서류전형 → 면접전형 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: F&B 서비스, 고객 응대  
- 자격 요건: 전문학사 이상, 경력 무관 (신입 지원 가능)  
- 우대 사항: 서비스 마인드 보유자, 호텔경영학, 항공서비스학, 어학계열 관련 전공자, 영어 가능자, 인근 거주자, 해당 직무 알바 경험, 해당 직무 근무 경험, 스케줄 근무 가능자  

[그 외]  
- 그 외 정보:  
  - 급여: 회사 내규에 따름  
  - 접수기간: 2025년 3월 21일 (금) 18시 ~ 채용시  
  - 이력서 양식: 사람인 온라인 이력서  
  - 유의사항: 해외여행에 결격사유 없음, 보훈대상자 가점 부여, 합격 취소 가능성, 연락처 및 이메일 기재 필수  "
rec-50309669,서울오라클치과병원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=emIxSG55blZmVG4rUk1qbWZMOXdLdz09,[신규치과/복지최강] 함께하실 데스크코디선생님 모십니다 : ),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309669,"['치과위생사', '간호조무사', '병원코디네이터']",경력 5~10년,학력무관,정규직 수습기간 3개월,면접 후 결정,"경기 의정부시, 서울 노원구, 도봉구",2025.03.22 11:00,2025.04.21 23:59,사람인 입사지원,사람인 이력서 양식,이범희,010-4752-3630,"[채용 공고 내용]  
채용인원: 00명  
근무형태: 정규직 (수습기간 3개월)  
근무일시: 월/수/금 10:00 ~ 18:30, 화 10:00 ~ 21:00, 주말 10:00 ~ 16:00 (야간근무 시 14:00 ~ 21:00)  
근무지역: (11651) 경기 의정부시 시민로 80 센트럴타워, 8층  
전형절차: 서류전형 → 1차 면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 치과 진료실 스탭  
- 자격 요건: 학력 및 경력 무관 (신입도 지원 가능)  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 복지 혜택: 매출에 따른 인센티브 제공, 추가 복지비(10만원) 지급, 휴가비 지원, 임직원 진료비 혜택, 매 달 간식 무한 제공, 생일비, 경조사비, 명절비 지급, 점심&저녁식대 제공, 1년 근속 시 연차 15개 지급  
  - 접수기간: 2025년 3월 22일 (토) 11시 ~ 2025년 4월 21일 (월) 24시  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우 채용이 취소될 수 있음  "
rec-50310357,주식회사씨앤씨에듀인재개발원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K2JZRjJ6ZHM0RWVCT0NZWGtSUlZiZz09,"은평씨앤씨미술학원 기초소양 고등, 애니/디지털드로잉 중등강사",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310357,"['파트강사', '학원강사', '학원보조', '동화구연', '미대입시']",,학력무관,정규직 수습기간 3개월,면접 후 결정,서울 은평구,2025.03.22 16:00,2025.04.21 23:59,사람인 입사지원,사람인 이력서 양식,,,"[채용 공고 내용]  
채용인원: 00명  
근무형태: 정규직(수습기간 3개월)  
근무일시: 유연근무제 13:00~22:00  
근무지역: 서울 은평구 통일로 871(갈현동, 효민아크로뷰 C&C미술학원)  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 디자인 입시 / 애니 중등, 학생 관리 및 상담, 수업 자료 개발, 시험 준비 지원  
- 자격 요건: 대졸 이상 (4년), 경력 1년 ~ 10년  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 접수기간: 2025년 3월 22일 (토) 16시 ~ 2025년 4월 21일 (월) 24시  
  - 이력서양식: 사람인 온라인 이력서  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후에도 채용이 취소될 수 있음.  
"
rec-50306065,"
앨리스마샤
관심기업 등록 ",,"디자인 생산관리 부서 모집 [ 여성 핸드백, 가방, 지갑 ]",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50306065,"['패션잡화', '산업디자인', '잡화디자인']",경력 2~4년,학력무관,정규직 수습기간 3개월,면접 후 결정,서울 성북구,2025.03.21 17:00,2025.04.20 23:59,사람인 입사지원,사람인 이력서 양식 제출서류 보기,,,"[채용 공고 내용]  
채용인원: 00명  
근무형태: 정규직(수습기간 3개월)  
직급:   
근무일시: 주 5일(월~금) 09:00~18:00  
근무지역: (02852) 서울 성북구 보문동4가 116 보문하우스토리 지하1층 103호 - 우이신설선 보문 에서 200m 이내  
전형절차: 서류전형 → 실무면접 → 임원면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 핸드백, 잡화 디자인 및 생산 핸들링, 국내외 시장조사 및 트렌드 분석, 원가계산서 및 작업지시서 작성, 샘플 원부자재 발주 및 소싱, 시즌별 컨셉구상 및 거래처 핸들링, 생산 입/출고 및 품질관리  
- 자격 요건: 고졸 이상, 경력 5년 이상, 브랜드 디자인 및 생산 핸들링 경험, PU소재 다루기, CASUAL하고 YOUNG한 디자인 이해  
- 우대 사항: 브랜드 이미지 이해도 높음, 원활한 소통 가능, 간단한 문서작업 및 디자인 프로그램 활용 가능  

[그 외]  
- 그 외 정보:  
  - 접수기간: 2025년 3월 21일 (금) 17시 ~ 2025년 4월 20일 (일) 24시  
  - 이력서양식: 사람인 온라인 이력서  
  - 유의사항: 허위사실 발견 시 채용 취소 가능, 면접 일정은 추후 통보, 합격자 개별 통보  "
rec-50310296,(주)아이피시,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dmg5UmtoQW5NVWZhTU5EVXNJNU1UZz09,[연세의료원/신입/환영] 신촌세브란스 제중관 약무국 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310296,"['간호사', '간호조무사', '병원코디네이터', '약국전산원', '접수/예약']",경력 10~15년,"대졸(2,3년제) 이상",파견직,월급 244 만원 (주 40시간),"서울 서대문구, 서울전체, 강서구, 마포구, 종로구, 경기 고양시, 고양시 덕양구, 광명시, 김포시, 부천시",2025.03.22 15:00,,사람인 입사지원,자사양식,정진우 실장 (HR사업팀),010-4232-9722,"[채용 공고 내용]  
채용인원: 00명 (정확한 인원 수 미제공)  
근무형태: 파견직  
근무일시: 주 5일, 07:00~16:00 (평일 근무, 휴게시간 포함)  
근무지역: 서울 서대문구 연세로 50-1 세브란스병원(신촌동)  
전형절차: 서류전형 -> 면접진행 -> 최종합격  
접수방법: 사람인 입사지원 혹은 네이버 폼 지원  

[채용 공고 주요 내용]  
- 주요 업무: 병동별 주사제 조제 보조, 응급 주사제 조제 보조, 약품 라벨 부착 및 분류, 물품 정리 등  
- 자격 요건: 신입 가능, 학력 및 경력 무관, 신체 건강한 지원자  
- 우대 사항: 근무 스케줄 유연한 지원자, 밝고 성실한 지원자, 봉사정신 갖춘 지원자, 유사업계 경력자  

[그 외]  
- 그 외 정보:  
  - 급여조건: 세전 월 2,446,100원 ~ 2,567,900원, 하계휴가비 지원  
  - 복리후생: 4대보험, 연차, 퇴직금, 명절선물, 의료비 50% 할인, 무료 셔틀버스 운영, 구내식당 및 프랜차이즈 카페 이용 가능  
  - 접수기간: 채용 시 마감  
  - 유의사항: 허위사실 발견 시 채용 취소 가능  "
