id,기업링크,공고제목,공고링크,태그,공고내용,공고내용이미지url,refined_content
rec-50214556,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OS9lczBlOTlDUWpzaXZRd1loR21CZz09,[정규직] 컨버전스부 UX/UI 디자이너 모집(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214556,"['광고디자인', '디지털디자인', '웹디자인', 'UI/UX디자인', 'UI/UX']",,['https://weedsoft.co.kr/contents/image/design_250311_sa.png'],"[채용 공고 내용]
채용인원: 정보 없음
학력: 정보 없음
근무형태: 정보 없음
근무일시: 정보 없음
근무지역: 정보 없음
전형절차: 정보 없음
접수기간: 정보 없음
접수방법: 정보 없음
이력서양식: 정보 없음

[채용 공고 주요 내용]
- 주요 업무: 정보 없음
- 자격 요건: 정보 없음
- 우대 사항: 정보 없음"
rec-50214557,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Y0p2V25IbkZSb3VtKzdqcy9PaitpQT09,제품디자이너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214557,['산업디자인'],"제품디자이너
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (2,3년)
제품디자이너_생활용품/소형가전 0명
주요업무
ㆍ 스타트어 프로젝트 제품디자인
ㆍ 생활용품 및 소형가전 분야
지원자격
ㆍ경력 : 경력 2년 ~ 10년
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월, 계약직(정규직 전환가능)-1년, 프리랜서
ㆍ 근무지역 : (06619) 서울 서초구 서초대로 398 BNK디지털타워 707호(서초동) - 신분당선 강남 에서 300m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 11일 (화) 16시 ~ 2025년 4월 10일 (목) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 포트폴리오
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",,"[채용 공고 내용]  
채용인원: 0명  
학력: 대졸 이상 (2,3년)  
근무형태: 정규직(수습기간)-3개월, 계약직(정규직 전환가능)-1년, 프리랜서  
근무일시: 정보 없음  
근무지역: (06619) 서울 서초구 서초대로 398 BNK디지털타워 707호(서초동) - 신분당선 강남 에서 300m 이내  
전형절차: 서류전형 > 1차면접 > 최종합격  
접수기간: 2025년 3월 11일 (화) 16시 ~ 2025년 4월 10일 (목) 24시  
접수방법: 사람인 입사지원  
이력서양식: 사람인 온라인 이력서, 포트폴리오   

[채용 공고 주요 내용]  
- 주요 업무: 스타트어 프로젝트 제품디자인, 생활용품 및 소형가전 분야  
- 자격 요건: 경력 2년 ~ 10년  
- 우대 사항: 정보 없음  "
rec-50214567,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ekJrVVdKdkR1bzVkRjFpd2hVTXZvZz09,"[역삼역]KAGE영재교육학술원 강남본원- 유아,사고력 교사 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214567,"['공부방교사', '돌봄교사', '방문교사', '교육운영', '방과후교사']","KAGE영재교육학술원 강남본원 유아&사고력 모집
 
KAGE영재교육학술원은 영재교육진흥법이 제정되기 이전인 1989년부터 영재교육 연구진을 육성, 관련 프로그램을 개발하고 영재 아동들을 선발, 교육하여 왔습니다. KAGE영재교육학술원은 30년된 영재교육전문기관으로 전문 연구원의 영재판별검사를 통과한 아이들을 선별하여 교육합니다. 영재 각 개인에게 필요한 도전과 자극을 맞춤식 프로그램으로 제공하여, 그들의 창의적 문제해결력을 개발시키는것을 목표로 합니다. 


■
모집부문 및 자격요건
모집부문

 ㆍ유아 : 아동학, 유아교육 및 유아 관련학과 전공자 
 ㆍ사고력 : 교육학, 교육심리학과 관련학과 전공자 

모집인원
  0명

담당업무
 - 영재 아동 수업 담당
 - 프로그램 연구 및 학부모 상담
응시자격
 1) 졸업예정자 및 기졸업자  
 2) 4년제 대학 졸업(예정)자 이상
 3) 토요일 근무가능한 자(일,월요일 휴무)
 4) 근무시간 - 10:10~19:10
 5) 성별 - 무관  






■
모집기간 및 절차
-
모집기간 : 3월  22일(토) 까지
-
서류전형 합격자에 한하여 개별 연락


■
제출서류
-
이력서(사진포함, 연락처 게제)
-
자기소개서(A4 2매 내외)
-
졸업,성적증명서
-
자격증사본(해당자에 한함)


■
복리후생
-
연금.보험 : 국민연금, 고용보험, 산재보험, 건강보험
-
휴무.휴가 : 주5일근무, 연차
-
보상제도 : 장기근속자 포상, 퇴직금
-
건강관리 지원 : 건강검진
-
경조사 지원 : 각종 경조금, 경조휴가제




■
접수방법
-
채용사이트 사람인 또는 이메일접수
-
e-mail : hjongy3510@hanmail.net
-
e-mail 접수시 제목란에 지원부서 및 이름을 명확히 기재해 주시기 바랍니다.


■
참고사항
-
제출된 서류는 일절 반환 하지 않으며, 채용목적이외에 사용하지 않습니다.
-
이력서 및 자기소개서는 본원 입사지원서 양식 추천
-

학술원 계열사 : 사보이 그룹 - www.savoy.co.kr

-  문의사항은 02-2149-5553으로 연락주시기 바랍니다.",,"[채용 공고 내용]  
채용인원: 0명  
학력: 4년제 대학 졸업(예정)자 이상  
근무형태: 정규직  
근무일시: 10:10~19:10 (토요일 근무 가능, 일·월요일 휴무)  
근무지역: 정보 없음  
전형절차: 서류전형 합격자에 한하여 개별 연락  
접수기간: 3월 22일(토) 까지  
접수방법: 채용사이트 사람인 또는 이메일 접수 (hjongy3510@hanmail.net)  
이력서양식: 본원 입사지원서 양식 추천 (이력서, 자기소개서, 졸업·성적증명서, 자격증 사본(해당자에 한함))  

[채용 공고 주요 내용]  
- 주요 업무: 영재 아동 수업 담당, 프로그램 연구 및 학부모 상담  
- 자격 요건: 졸업예정자 및 기졸업자, 4년제 대학 졸업(예정)자 이상, 토요일 근무 가능, 성별 무관  
- 우대 사항: 정보 없음  "
rec-50214576,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TUVEV29YZE9jRjNzdnpvMDlRZHphZz09,[소중한 분을 모십니다] 콘텐츠 마케터 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214576,"['마케팅기획', '마케팅전략', '블로그마케팅', '인플루언서마케팅', 'SNS마케팅']",  ,"['https://pds.saramin.co.kr/recruit/recruit/202501/06/spn22o35_79eo-1evsiu9_recruit.png', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095838', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095839', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095841', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095842', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095844', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095845', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095847', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095848', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095849', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095850', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095851', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095852', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095853', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095915', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095916', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095918', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095857', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095858', 'https://file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1095859']","죄송합니다만, 채용 공고의 내용을 제공해 주실 수 있나요? 주어진 텍스트를 바탕으로 정보를 정리해 드리겠습니다."
rec-50214577,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cCttSGo5bCt6N3dqbG5YU2N6WkhvZz09,베이커리 물류(포장/검수) 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214577,"['물류관리', '창고관리', '상하차', '수불관리', '패킹(포장)']",,['https://pds.saramin.co.kr/recruit/recruit/202503/11/ssy8sx62_d1zg-w0c3n8_recruit.jpg'],"[채용 공고 내용]
채용인원: 정보 없음
학력: 정보 없음
근무형태: 정보 없음
근무일시: 정보 없음
근무지역: 정보 없음
전형절차: 정보 없음
접수기간: 정보 없음
접수방법: 정보 없음
이력서양식: 정보 없음

[채용 공고 주요 내용]
- 주요 업무: 정보 없음
- 자격 요건: 정보 없음
- 우대 사항: 정보 없음"
rec-50214579,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VTBYeFNnTkxaelMzeldMVDkvYVRBZz09,[중견코스닥] 생산관리팀 - 경력직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214579,['생산관리'],"1. 채용포지션
- 생산관리팀  대리~과장급
 2. 담당업무 : 생산관리
1) Forecast기반 생산계획 수립 & 실적 database 통계분석
2) S&OP운영 (매주S&OP회의주관 / 사전회의 자료준비)
- 중장기 수요기반 재고 중심의 생산계획수립 (안전재고 기준으로 목표설정 운영)
- 판매, 생산, 분석 확정대비 변동 점검 (재고부족 및 과잉 원인파악)
- 사내공정issue, 설비trouble대응방안 수립
- 생산Capa 분석을 통한 공급risk hedge방안수립
3) S&OP 후속조치 F/UP (각 부서 후속조치 진행경과 및 상태확인 /필요시agenda발의)
- 통합 경영시스템 및 미세 변경점 관리(MOC포함) 주관
- 변경점에 따른 품질검증방안 수립 및 Weak-point도출
4) 공급망 점검
- 국내/외 변경점에 해당하는 공급 delay issue check
- 생산, 운송, 통관, 재고까지 simulation분석을 통한 공급 shortage 대응방안 수립
 3. 자격요건 및 우대사항
- 학력 : 학사이상 (산업공학 관련 전공자 우대)
- 관련업무 5년 이상의 경력자
- MES System지식보유자
- 생산관련System사용경험자 (ERP, MES등)
  - Excel, MSOffice사용능력 상급자

4. 처우조건 : 이전 연봉 이상으로 경력에 따라 협의
5. 전형절차 : 서류전형 후, 면접진행
6. 근무지 : 충북 오창
7. 연락처  : 02-6332-6346 / ktpark@c-support.co.kr",,"[채용 공고 내용]  
채용인원: 정보 없음  
학력: 학사 이상 (산업공학 관련 전공자 우대)  
근무형태: 정보 없음  
근무일시: 정보 없음  
근무지역: 충북 오창  
전형절차: 서류전형 후, 면접진행  
접수기간: 정보 없음  
접수방법: 정보 없음  
이력서양식: 정보 없음  

[채용 공고 주요 내용]  
- 주요 업무:  
  - Forecast기반 생산계획 수립 및 실적 데이터베이스 통계분석  
  - 매주 S&OP회의 주관 및 사전 회의 자료 준비  
  - 중장기 수요기반 재고 중심의 생산계획 수립  
  - 판매, 생산, 분석 확정 대비 변동 점검  
  - 사내 공정 이슈 및 설비 트러블 대응방안 수립  
  - 생산 Capacitance 분석을 통한 공급 리스크 관리 방안 수립  
  - S&OP 후속조치 및 각 부서 진행 경과 상태 확인  
  - 통합 경영시스템 및 변경점 관리 주관  
  - 국내/외 변경점에 따른 공급 지연 이슈 확인 및 대응 방안 수립   

- 자격 요건:  
  - 관련 업무 5년 이상의 경력자  
  - MES System 지식 보유자  
  - 생산 관련 시스템 사용 경험자 (ERP, MES 등)  
  - Excel, MS Office 사용 능력 상급자  

- 우대 사항:  
  - 산업공학 관련 전공자 우대  "
rec-50214588,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=czIxN084NXZ2SndMSE5jSm1BTFNpZz09,[국내 자율주행 로봇기업] 기구 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214588,"['다이캐스팅', 'CATIA', 'solidworks', '브라켓설계', '구동관련기어설계']","[주요업무]

- 판금 및 브라켓 설계
- 사출 및 다이캐스팅
- 하우징 및 외장 설계
- 구동 관련 기어 및 샤프트 설계
- 구조 설계
- 도면 작성(정밀공차 및 일반공차)


[자격요건]
- 학력 : 정규 4년제 대졸 이상
- 경력 : 해당 분야 5년 ~ 10년


[우대사항]
- CATIA V5 / Solidworks
- 관련 직무 근무 경험 보유자
- catia generative shape design 가능자


▷ 처 우 : 현재 연봉 대비, 협의 조정

※ 문의 및 제출처 : 라이언 이사 dskim@galleoncg.com
함께하기 위한 방법
접수기간 : 2025년 03월 11일 (화)16시 00분 ~ 2025년 04월 10일 (목) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",,"[채용 공고 내용]  
채용인원: 정보 없음  
학력: 정규 4년제 대졸 이상  
근무형태: 정보 없음  
근무일시: 정보 없음  
근무지역: 정보 없음  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수기간: 2025년 03월 11일 (화) 16시 00분 ~ 2025년 04월 10일 (목) 23시 59분  
접수방법: 사람인 입사지원  
이력서양식: 사람인 이력서 양식  

[채용 공고 주요 내용]  
- 주요 업무:  
  - 판금 및 브라켓 설계  
  - 사출 및 다이캐스팅  
  - 하우징 및 외장 설계  
  - 구동 관련 기어 및 샤프트 설계  
  - 구조 설계  
  - 도면 작성(정밀공차 및 일반공차)  

- 자격 요건:  
  - 학력: 정규 4년제 대졸 이상  
  - 경력: 해당 분야 5년 ~ 10년  

- 우대 사항:  
  - CATIA V5 / Solidworks 사용 가능자  
  - 관련 직무 근무 경험 보유자  
  - CATIA generative shape design 가능자  "
rec-50214600,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Wm5sVDd5dlZoQktsUHd1Y0IxYk85UT09,[정규직]주방용품 전문 도소매업체 패키지디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214600,"['그래픽디자인', '산업디자인', '패키지디자인', '카탈로그', '템플릿']"," ｜회사소개

□ 주방용품 전문 도소매


 ｜업무내용

[상품팀]

1) 패키지 구조, 도출 및 감리
- 시장 및 트랜드 조사를 통한 제품별 패키지 개발 전략 수립
- 각 영업채널과 맞는 컨셉 및 디자인 도출
- 컨셉 방향에 따른 구조 도면 및 인쇄 기준 감리

2) 각 영업 채널에 맞는 디자인 업무 및 시뮬레이션 지원

3) 그래픽디자인 전반적인 업무
- 브랜드 카탈로그 디자인 제작 등
- 사진 촬영 감리



 ｜자격사항

- 4년제 학사 졸업 이상
- 주방용품, 소비재 등 유사업계 그래픽/패키지 디자인 경력 5년이상
- 일러스트/포토샵 등 디자인 프로그램 활용 가능자



 ｜근무조건

- 채용형태 : 정규직
- 급여조건 : 최종연봉 대비 경력별 협의 [세전/퇴직금별도]+명설 고정상여금, 기타 유동적 복리후생 등
- 복리후생 : 4대보험, 퇴직금, 연차, 연 2회 명절 보너스, 자사제품 직원할인, 건강검진, 통신비 지원, 생일 축하 지원금, 경조휴가 및 경조금 지원, 장기근속 수당 및 포상, 창립기념일 휴가, 신입 직원 OJT 진행 등
- 근무위치 : 서울시 강남구 (강남역 인근)
- 근무시간 : 월~금 09:00~18:00



 ｜문의처

 - 담당자 : K.I.S컨설팅 채용대행사업부 지미영 대리
 - 유선전화 : 010-2348-1671
 - 메일문의 : jobis2409@naver.com


 ","['https://www.kistemp.co.kr/cyberphoto/intra2/2023100616030644719.gif', 'https://www.kistemp.co.kr/cyberphoto/intra2/2024022115172102711.png']","[채용 공고 내용]  
채용인원: 정보 없음  
학력: 4년제 학사 졸업 이상  
근무형태: 정규직  
근무일시: 월~금 09:00~18:00  
근무지역: 서울시 강남구 (강남역 인근)  
전형절차: 정보 없음  
접수기간: 정보 없음  
접수방법: 정보 없음  
이력서양식: 정보 없음  

[채용 공고 주요 내용]  
- 주요 업무: 패키지 구조 및 감리, 각 영업채널에 맞는 디자인 업무 및 시뮬레이션 지원, 브랜드 카탈로그 디자인 제작, 사진 촬영 감리  
- 자격 요건: 4년제 학사 졸업 이상, 주방용품/소비재 등 유사업계 그래픽/패키지 디자인 경력 5년 이상, 일러스트/포토샵 등 디자인 프로그램 활용 가능자  
- 우대 사항: 정보 없음  "
rec-50214613,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=czIxN084NXZ2SndMSE5jSm1BTFNpZz09,[국내 자율주행 로봇기업] 전략사업팀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214613,"['B2B', 'B2B마케팅', '사업전략', 'B2G', '파트너십']","[주요업무]

- 국내 대기업과의 협업 프로젝트 진행
- 제품/상품 판매 등에 대한 전략 수립
- B2B, B2G 사업 제휴, 파트너십 구축
- 사업화 방향성 정립 및 그에 따른 전략 수립


[자격요건]

- 학력 : 정규 4년제 대졸 이상
- 경력 : 해당 분야 1년 ~ 3년
- 해외출장 결격 사유 없는 자
- 상황 판단 및 이해 능력 우수
- TOEIC 700점 이상
- OA 사용 우수


[우대사항]

- 모빌리티 분야 전략 수립 경력
- B2B, B2G 사업 제휴 및 협상 스킬 보유자
- 신제품 사업 전반에 대한 경험자
- 외국어 능력 (영어, 중국어, 일본어)


▷ 처 우 : 현재 연봉 대비, 협의 조정

※ 문의 및 제출처 : 라이언 이사 dskim@galleoncg.com
함께하기 위한 방법
접수기간 : 2025년 03월 11일 (화)16시 00분 ~ 2025년 04월 10일 (목) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",,"[채용 공고 내용]  
채용인원: 정보 없음  
학력: 정규 4년제 대졸 이상  
근무형태: 정보 없음  
근무일시: 정보 없음  
근무지역: 정보 없음  
전형절차: 서류전형, 1차면접, 최종합격  
접수기간: 2025년 03월 11일 (화) 16시 00분 ~ 2025년 04월 10일 (목) 23시 59분  
접수방법: 사람인 입사지원  
이력서양식: 사람인 이력서 양식  

[채용 공고 주요 내용]  
- 주요 업무:  
  - 국내 대기업과의 협업 프로젝트 진행  
  - 제품/상품 판매 등에 대한 전략 수립  
  - B2B, B2G 사업 제휴, 파트너십 구축  
  - 사업화 방향성 정립 및 그에 따른 전략 수립  

- 자격 요건:  
  - 학력: 정규 4년제 대졸 이상  
  - 경력: 해당 분야 1년 ~ 3년  
  - 해외출장 결격 사유 없는 자  
  - 상황 판단 및 이해 능력 우수  
  - TOEIC 700점 이상  
  - OA 사용 우수  

- 우대 사항:  
  - 모빌리티 분야 전략 수립 경력  
  - B2B, B2G 사업 제휴 및 협상 스킬 보유자  
  - 신제품 사업 전반에 대한 경험자  
  - 외국어 능력 (영어, 중국어, 일본어)  "
rec-50214637,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K3RDdnNmZnowdHpDc2Jib2prTlhrUT09,중견그룹 인사전문가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50214637,"['인력관리', '인사기획', '인사']","중견그룹 인사전문가 모집
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (4년)
인사기획 1명
지원자격
ㆍ경력 : 경력 8년 ~ 12년
근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무지역 : (04213) 서울 마포구 마포대로 50(공덕동) - 서울 5호선 공덕 에서 100m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 11일 (화) 17시 ~ 2025년 4월 10일 (목) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",,"[채용 공고 내용]
채용인원: 1명  
학력: 대졸 이상 (4년)  
근무형태: 정규직  
근무일시: 정보 없음  
근무지역: (04213) 서울 마포구 마포대로 50(공덕동) - 서울 5호선 공덕 에서 100m 이내  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수기간: 2025년 3월 11일 (화) 17시 ~ 2025년 4월 10일 (목) 24시  
접수방법: 사람인 입사지원  
이력서양식: 사람인 온라인 이력서  

[채용 공고 주요 내용]
- 주요 업무: 정보 없음
- 자격 요건: 경력 8년 ~ 12년
- 우대 사항: 정보 없음"
